timestamp,hour_index,hour_of_day,household_id,demand_kw,solar_kw,net_kw,surplus_kw,deficit_kw,Voltage,Global_intensity,appliance_1_kw_est,appliance_2_kw_est,appliance_3_kw_est
2006-12-16 17:00:00,0,17,household_1_high_solar,4.959,1.682,-3.277,0.0,3.277,234.63828571428573,18.091428571428573,0.0,0.001,0.017
2006-12-16 18:00:00,1,18,household_1_high_solar,3.689,0.0,-3.689,0.0,3.689,234.58016666666666,15.6,0.0,0.007,0.017
2006-12-16 19:00:00,2,19,household_1_high_solar,3.578,0.0,-3.578,0.0,3.578,233.23250000000002,14.503333333333334,0.0,0.001,0.017
2006-12-16 20:00:00,3,20,household_1_high_solar,3.53,0.0,-3.53,0.0,3.53,234.07150000000001,13.916666666666666,0.0,0.0,0.017
2006-12-16 21:00:00,4,21,household_1_high_solar,3.032,0.0,-3.032,0.0,3.032,237.15866666666668,13.046666666666665,0.0,0.0,0.017
2006-12-16 22:00:00,5,22,household_1_high_solar,2.31,0.0,-2.31,0.0,2.31,238.76000000000002,9.523333333333333,0.0,0.0,0.004
2006-12-16 23:00:00,6,23,household_1_high_solar,2.061,0.0,-2.061,0.0,2.061,240.61966666666666,8.896666666666667,0.0,0.0,0.0
2006-12-17 00:00:00,7,0,household_1_high_solar,1.651,0.0,-1.651,0.0,1.651,240.96183333333332,8.126666666666667,0.0,0.0,0.0
2006-12-17 01:00:00,8,1,household_1_high_solar,3.588,0.0,-3.588,0.0,3.588,240.44833333333332,14.246666666666666,0.0,0.025,0.0
2006-12-17 02:00:00,9,2,household_1_high_solar,1.654,0.0,-1.654,0.0,1.654,245.81866666666667,6.87,0.0,0.001,0.0
2006-12-17 03:00:00,10,3,household_1_high_solar,1.589,0.0,-1.589,0.0,1.589,244.5135,7.206666666666667,0.0,0.001,0.0
2006-12-17 04:00:00,11,4,household_1_high_solar,2.189,0.0,-2.189,0.0,2.189,243.8555,9.333333333333334,0.0,0.001,0.009
2006-12-17 05:00:00,12,5,household_1_high_solar,2.067,0.0,-2.067,0.0,2.067,243.71016666666668,8.566666666666666,0.0,0.0,0.005
2006-12-17 06:00:00,13,6,household_1_high_solar,1.279,0.0,-1.279,0.0,1.279,244.1415,5.53,0.0,0.001,0.0
2006-12-17 07:00:00,14,7,household_1_high_solar,1.72,1.682,-0.038,0.0,0.038,241.84566666666666,6.803333333333333,0.0,0.0,0.0
2006-12-17 08:00:00,15,8,household_1_high_solar,1.834,3.25,1.416,1.416,0.0,241.3115,8.05,0.0,0.001,0.0
2006-12-17 09:00:00,16,9,household_1_high_solar,2.86,4.596,1.736,1.736,0.0,238.8478333333333,10.973333333333333,0.0,0.007,0.0
2006-12-17 10:00:00,17,10,household_1_high_solar,3.66,5.629,1.969,1.969,0.0,235.44099999999997,15.533333333333333,0.009,0.022,0.016
2006-12-17 11:00:00,18,11,household_1_high_solar,2.518,6.279,3.761,3.761,0.0,236.92466666666667,10.493333333333334,0.009,0.005,0.017
2006-12-17 12:00:00,19,12,household_1_high_solar,1.711,6.5,4.789,4.789,0.0,237.78466666666665,8.136666666666667,0.0,0.001,0.017
2006-12-17 13:00:00,20,13,household_1_high_solar,1.853,6.279,4.426,4.426,0.0,239.92066666666668,6.923333333333333,0.0,0.0,0.018
2006-12-17 14:00:00,21,14,household_1_high_solar,2.115,5.629,3.514,3.514,0.0,244.04566666666668,8.6,0.0,0.0,0.018
2006-12-17 15:00:00,22,15,household_1_high_solar,2.904,4.596,1.692,1.692,0.0,240.48083333333335,12.426666666666668,0.007,0.0,0.018
2006-12-17 16:00:00,23,16,household_1_high_solar,3.798,3.25,-0.548,0.0,0.548,236.78183333333334,14.006666666666666,0.009,0.0,0.017
2006-12-17 17:00:00,24,17,household_1_high_solar,3.566,1.682,-1.884,0.0,1.884,234.22983333333335,14.51,0.0,0.0,0.017
2006-12-17 18:00:00,25,18,household_1_high_solar,3.488,0.0,-3.488,0.0,3.488,234.37233333333333,15.75,0.0,0.0,0.017
2006-12-17 19:00:00,26,19,household_1_high_solar,2.967,0.0,-2.967,0.0,2.967,233.19566666666665,12.516666666666667,0.0,0.001,0.017
2006-12-17 20:00:00,27,20,household_1_high_solar,2.964,0.0,-2.964,0.0,2.964,236.4265,14.276666666666667,0.0,0.001,0.017
2006-12-17 21:00:00,28,21,household_1_high_solar,3.561,0.0,-3.561,0.0,3.561,240.78409697,13.104727272666667,0.0,0.001,0.018
2006-12-17 22:00:00,29,22,household_1_high_solar,1.723,0.0,-1.723,0.0,1.723,243.84964232459015,6.984202682622951,0.0,0.0,0.004
2006-12-17 23:00:00,30,23,household_1_high_solar,0.415,0.0,-0.415,0.0,0.415,245.734,1.9966666666666666,0.0,0.001,0.0
2006-12-18 00:00:00,31,0,household_1_high_solar,0.297,0.0,-0.297,0.0,0.297,244.60750000000002,1.2233333333333334,0.0,0.0,0.0
2006-12-18 01:00:00,32,1,household_1_high_solar,0.277,0.0,-0.277,0.0,0.277,243.51933333333332,1.4166666666666667,0.0,0.001,0.0
2006-12-18 02:00:00,33,2,household_1_high_solar,0.295,0.0,-0.295,0.0,0.295,246.89100000000002,1.2566666666666666,0.0,0.0,0.0
2006-12-18 03:00:00,34,3,household_1_high_solar,0.265,0.0,-0.265,0.0,0.265,245.73183333333333,1.4,0.0,0.001,0.0
2006-12-18 04:00:00,35,4,household_1_high_solar,0.979,0.0,-0.979,0.0,0.979,245.507,4.176666666666667,0.0,0.0,0.013
2006-12-18 05:00:00,36,5,household_1_high_solar,0.269,0.0,-0.269,0.0,0.269,245.2531666666667,1.2933333333333332,0.0,0.0,0.0
2006-12-18 06:00:00,37,6,household_1_high_solar,0.672,0.0,-0.672,0.0,0.672,245.70433333333332,2.6,0.0,0.0,0.0
2006-12-18 07:00:00,38,7,household_1_high_solar,2.974,1.682,-1.292,0.0,1.292,240.96233333333333,10.22,0.0,0.0,0.011
2006-12-18 08:00:00,39,8,household_1_high_solar,2.197,3.25,1.053,1.053,0.0,237.88033333333334,8.726666666666667,0.012,0.0,0.017
2006-12-18 09:00:00,40,9,household_1_high_solar,1.863,4.596,2.733,2.733,0.0,237.40466666666669,6.816666666666666,0.005,0.0,0.017
2006-12-18 10:00:00,41,10,household_1_high_solar,1.293,5.629,4.336,4.336,0.0,239.0805,5.426666666666667,0.0,0.0,0.018
2006-12-18 11:00:00,42,11,household_1_high_solar,1.624,6.279,4.655,4.655,0.0,239.77100000000002,6.47,0.0,0.001,0.018
2006-12-18 12:00:00,43,12,household_1_high_solar,1.664,6.5,4.836,4.836,0.0,242.57999999999998,7.246666666666667,0.0,0.0,0.018
2006-12-18 13:00:00,44,13,household_1_high_solar,1.481,6.279,4.798,4.798,0.0,241.95416666666668,6.9399999999999995,0.0,0.001,0.017
2006-12-18 14:00:00,45,14,household_1_high_solar,1.514,5.629,4.115,4.115,0.0,242.19650000000001,7.096666666666667,0.0,0.0,0.017
2006-12-18 15:00:00,46,15,household_1_high_solar,1.832,4.596,2.764,2.764,0.0,242.4235,7.3100000000000005,0.0,0.001,0.018
2006-12-18 16:00:00,47,16,household_1_high_solar,2.256,3.25,0.994,0.994,0.0,242.38066666666666,8.096666666666668,0.0,0.0,0.018
2006-12-18 17:00:00,48,17,household_1_high_solar,2.305,1.682,-0.623,0.0,0.623,238.72916666666666,8.993333333333334,0.0,0.0,0.017
2006-12-18 18:00:00,49,18,household_1_high_solar,2.43,0.0,-2.43,0.0,2.43,236.66850000000002,10.083333333333334,0.0,0.0,0.017
2006-12-18 19:00:00,50,19,household_1_high_solar,3.113,0.0,-3.113,0.0,3.113,235.32916666666668,11.19,0.0,0.009,0.0
2006-12-18 20:00:00,51,20,household_1_high_solar,3.256,0.0,-3.256,0.0,3.256,234.52433333333335,13.046666666666665,0.0,0.0,0.013
2006-12-18 21:00:00,52,21,household_1_high_solar,2.294,0.0,-2.294,0.0,2.294,237.59083333333334,9.24,0.0,0.0,0.004
2006-12-18 22:00:00,53,22,household_1_high_solar,1.858,0.0,-1.858,0.0,1.858,240.2115,7.25,0.0,0.009,0.0
2006-12-18 23:00:00,54,23,household_1_high_solar,1.533,0.0,-1.533,0.0,1.533,242.65933333333334,6.6,0.0,0.02,0.0
2006-12-19 00:00:00,55,0,household_1_high_solar,0.819,0.0,-0.819,0.0,0.819,242.07116666666667,3.5433333333333334,0.0,0.001,0.008
2006-12-19 01:00:00,56,1,household_1_high_solar,0.318,0.0,-0.318,0.0,0.318,241.80833333333334,1.57,0.0,0.0,0.001
